Date;UNRATE (%)
01/01/2008;5,0
01/02/2008;4,9
01/03/2008;5,1
01/04/2008;5,0
01/05/2008;5,4
01/06/2008;5,6
01/07/2008;5,8
01/08/2008;6,1
01/09/2008;6,1
01/10/2008;6,5
01/11/2008;6,8
01/12/2008;7,3
01/01/2009;7,8
01/02/2009;8,3
01/03/2009;8,7
01/04/2009;9,0
01/05/2009;9,4
01/06/2009;9,5
01/07/2009;9,5
01/08/2009;9,6
01/09/2009;9,8
01/10/2009;10,0
01/11/2009;9,9
01/12/2009;9,9
01/01/2010;9,8
01/02/2010;9,8
01/03/2010;9,9
01/04/2010;9,9
01/05/2010;9,6
01/06/2010;9,4
01/07/2010;9,4
01/08/2010;9,5
01/09/2010;9,5
01/10/2010;9,4
01/11/2010;9,8
01/12/2010;9,3
01/01/2011;9,1
01/02/2011;9,0
01/03/2011;9,0
01/04/2011;9,1
01/05/2011;9,0
01/06/2011;9,1
01/07/2011;9,0
01/08/2011;9,0
01/09/2011;9,0
01/10/2011;8,8
01/11/2011;8,6
01/12/2011;8,5
01/01/2012;8,3
01/02/2012;8,3
01/03/2012;8,2
01/04/2012;8,2
01/05/2012;8,2
01/06/2012;8,2
01/07/2012;8,2
01/08/2012;8,1
01/09/2012;7,8
01/10/2012;7,8
01/11/2012;7,7
01/12/2012;7,9
01/01/2013;8,0
01/02/2013;7,7
01/03/2013;7,5
01/04/2013;7,6
01/05/2013;7,5
01/06/2013;7,5
01/07/2013;7,3
01/08/2013;7,2
01/09/2013;7,2
01/10/2013;7,2
01/11/2013;6,9
01/12/2013;6,7
01/01/2014;6,6
01/02/2014;6,7
01/03/2014;6,7
01/04/2014;6,2
01/05/2014;6,3
01/06/2014;6,1
01/07/2014;6,2
01/08/2014;6,1
01/09/2014;5,9
01/10/2014;5,7
01/11/2014;5,8
01/12/2014;5,6
01/01/2015;5,7
01/02/2015;5,5
01/03/2015;5,4
01/04/2015;5,4
01/05/2015;5,6
01/06/2015;5,3
01/07/2015;5,2
01/08/2015;5,1
01/09/2015;5,0
01/10/2015;5,0
01/11/2015;5,1
01/12/2015;5,0
01/01/2016;4,8
01/02/2016;4,9
01/03/2016;5,0
01/04/2016;5,1
01/05/2016;4,8
01/06/2016;4,9
01/07/2016;4,8
01/08/2016;4,9
01/09/2016;5,0
01/10/2016;4,9
01/11/2016;4,7
01/12/2016;4,7
01/01/2017;4,7
