gdp;homeprices;price;unrate
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
-0.010405077;-0.047728035;-0.080787885;0.226415094
0;0;0;-0.226415094
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.014172361;0.075074483;0.094581267;0.094339623
0;0;0;-0.094339623
0;0;0;0
0;0;0;0
0.066153746;-0.113331886;0.129375448;0.056603774
0;0;0;-0.056603774
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.045169685;0.007833001;0.036928709;0.018867925
0;0;0;-0.018867925
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.033821739;0.042637571;-0.094655571;-0.094339623
0;0;0;0.094339623
0;0;0;0
0.043964909;-0.168064242;0.153010632;-0.056603774
0;0;0;0.056603774
0.043183375;0.002308466;0.048540279;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.018886703;0.062742932;-0.005971278;-0.018867925
0.040771727;-0.077521062;-0.127956931;-0.018867925
0;0;0;0.037735849
0;0;0;0
0.047468189;-0.083755894;0.086225531;-0.094339623
0;0;0;0.094339623
0.028979586;0.084979184;0.101059159;-0.018867925
0;0;0;0.018867925
0.023552854;0.114594637;-0.031166831;0
0;0;0;0
0.02113073;-0.006195371;0.053072777;-0.075471698
0;0;0;0.075471698
0;0;0;0
0.043719763;0.006807016;-0.009936369;0.037735849
0;0;0;-0.037735849
0;0;0;0
0;0;0;0
0.014771606;0.131345816;0.096587455;-0.075471698
0;0;0;0.075471698
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.044319008;0.144525778;0.02742465;-0.056603774
0;0;0;0.056603774
0.046523225;0.024959059;0.049060402;-0.018867925
0;0;0;0.018867925
0.002340409;-0.0036896;0.110407857;-0.113207547
0;0;0;0.113207547
0.066717372;0.071049464;0.0189811;-0.075471698
0;0;0;0.075471698
0;0;0;0
0;0;0;0
0;0;0;0
0.05877842;0.082197186;0.0596655;0
0;0;0;0
0.022903322;-0.004459089;0.006180678;-0.094339623
0;0;0;0.094339623
0.029084349;-0.012943196;0.059077829;0
0;0;0;0
0;0;0;0
0;0;0;0
0.042399747;0.073397392;0.005896975;-0.056603774
0;0;0;0.056603774
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.023728856;0.089280429;-0.000425555;-0.037735849
0;0;0;0.037735849
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.005263301;0.0110688;-0.099532565;-0.037735849
0;0;0;0.037735849
0;0;0;0
0;0;0;0
0.019534139;-0.000177574;0.080078626;-0.037735849
0;0;0;0.037735849
0;0;0;0
0;0;0;0
0;0;0;0
0.039036849;0.068168814;0.012442415;0.056603774
0;0;0;-0.056603774
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.034328793;0.089201507;0.028856676;-0.056603774
0;0;0;0.056603774
0;0;0;0
0.079295237;0.032476373;0;-0.018867925
0;0;0;0.018867925
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
